campaign_reach_impressions,frequency,media_channels_count,campaign_duration_days,creative_quality,message_clarity,targeting_accuracy,competitive_clutter,season,budget_allocation,market_segment,geographic_coverage,awareness_score
535190.5831,7.248496002,5,129,Average,Low,,Medium,Regular,Concentrated,Professionals,Regional,94.59260956
9304752.817,4.723589851,5,33,Average,Medium,Precise,Medium,Special Event,Distributed,Seniors,Global,40.18902811
9079435.854,3.094742147,2,54,Excellent,Medium,Precise,Low,Holiday,Distributed,Professionals,Local,31.17231717
6384879.709,,2,12,Poor,High,Broad,Medium,Holiday,Concentrated,Professionals,National,50.13477248
1045199.527,13.86840895,1,138,Average,Medium,Precise,High,Regular,Concentrated,Family,Global,47.8096396
4837065.004,14.23447687,4,20,Good,High,Broad,Medium,Holiday,Distributed,Professionals,National,62.81251406
152181.3855,10.16190269,5,24,Poor,Medium,Moderate,Low,Holiday,Distributed,Professionals,Local,96.32668823
7011088.314,11.24574366,5,103,Good,High,,Low,Regular,Concentrated,,Local,54.33244131
1502718.23,11.85744365,4,39,Average,Medium,Moderate,Low,Special Event,Concentrated,Family,Regional,98.35805482
8208359.049,12.44222126,4,178,Excellent,,Broad,Low,Special Event,Distributed,Family,,33.85280904
6500924.451,9.00763904,5,147,Poor,High,Moderate,Medium,Holiday,,Family,Regional,43.12001209
385806.9469,,2,48,Average,Low,Precise,Medium,Special Event,Concentrated,Seniors,Regional,78.44425867
4973777.868,11.01206794,4,166,Good,High,Moderate,Low,Special Event,Distributed,Professionals,National,46.77933648
2095482.297,,4,106,Poor,Medium,Precise,Low,Regular,,Family,Local,97.37755129
3498087.381,14.06259687,2,162,Poor,Medium,Broad,Low,Regular,Distributed,Youth,Global,98.1942061
8833878.69,6.188787104,5,105,Average,Low,Broad,Low,Holiday,Concentrated,Professionals,National,30.68675573
3539031.908,13.03814355,1,68,Excellent,Medium,Moderate,High,Regular,Concentrated,Family,Local,99.54841359
7471783.235,9.324276037,1,46,Poor,Low,Moderate,Medium,Regular,Concentrated,Youth,Global,
1909229.269,3.691865071,1,64,Poor,Low,Precise,Low,Regular,Concentrated,Family,Regional,56.17815872
9570163.882,12.05173979,4,157,Average,Medium,Precise,Medium,Regular,Distributed,Seniors,Global,52.67363715
6693258.573,4.119388639,5,49,Excellent,High,Moderate,Low,Regular,Distributed,Professionals,National,43.28220563
6045806.657,2.233570977,1,39,Excellent,High,Precise,,Special Event,Distributed,Seniors,Regional,41.41114609
19641.79911,8.344386047,4,82,Poor,,Precise,High,Holiday,Distributed,Professionals,Local,66.12487416
4986483.281,8.300163884,1,173,Excellent,Medium,Broad,,Holiday,Concentrated,,Local,60.89411604
5018097.833,13.39085489,4,95,Good,Low,Precise,Low,Regular,Concentrated,Professionals,Global,27.45105183
5289485.753,3.779865906,3,102,Poor,Medium,Moderate,Low,Regular,Distributed,Seniors,Global,60.17431015
8723531.848,11.80569781,2,108,Poor,Low,Moderate,High,Holiday,Distributed,Professionals,Local,74.4469056
9378457.995,12.22848537,5,55,Good,Medium,Moderate,Medium,Special Event,Distributed,Family,,48.30163578
5092655.516,3.993068036,3,69,Average,Medium,Broad,Low,Holiday,Concentrated,Seniors,National,76.44184602
8768998.18,7.843943507,3,134,Good,Medium,Moderate,Low,Special Event,Distributed,Family,National,90.19385251
805908.2725,5.142685649,4,67,Excellent,Medium,Precise,Medium,Regular,Concentrated,Seniors,Global,66.85991209
9100912.981,14.67891042,5,145,Poor,High,Broad,High,,Distributed,,Global,73.98547657
4914234.518,4.592022756,5,22,Average,Medium,Broad,High,Regular,Concentrated,Professionals,National,63.08922275
,3.793035123,3,169,Poor,High,Precise,Low,Holiday,Concentrated,Professionals,Local,44.29419658
9386358.024,,5,105,Poor,Low,Broad,Medium,Regular,Distributed,Seniors,National,87.82056977
8893518.746,7.091949144,5,,Excellent,High,Moderate,High,Regular,Distributed,Youth,Global,76.91691604
5131709.672,1.599529347,2,30,Poor,Medium,Broad,Low,Holiday,Concentrated,Youth,Regional,23.47091161
3231124.396,7.088922943,5,74,Excellent,High,Moderate,Low,Special Event,Concentrated,,Global,31.93582903
3866809.925,8.89209357,1,25,Poor,Medium,Moderate,High,Special Event,Concentrated,Seniors,Global,
7161808.513,10.08783582,1,100,Poor,High,Broad,Low,Special Event,Distributed,Seniors,Regional,77.69547707
8341577.899,2.32611592,1,23,Excellent,High,Moderate,High,Holiday,Concentrated,Professionals,Regional,80.88193106
9046376.921,13.48714637,2,95,Excellent,High,Moderate,Medium,Regular,,Family,Regional,54.3254716
9110904.042,5.078190352,5,44,Poor,High,Moderate,Medium,Holiday,Concentrated,Youth,Global,36.99181328
5720550.192,,5,173,Poor,Medium,Moderate,Medium,Regular,Concentrated,Family,Regional,40.25603841
2247634.342,13.19716077,4,141,Poor,Low,Moderate,Medium,Regular,,Youth,Regional,39.93081594
5840068.538,12.50123585,4,177,Poor,Medium,Precise,High,Special Event,Concentrated,Seniors,National,38.77936568
5543470.114,,4,86,,Low,Moderate,Medium,Regular,Concentrated,Family,Global,36.20288092
978128.1937,1.075855835,3,57,Good,High,Broad,Medium,Holiday,Concentrated,Youth,Regional,49.04913791
6881527.135,4.711532241,3,25,Good,Low,Precise,Medium,Regular,Distributed,Seniors,Regional,74.67733305
8230217.314,6.548918027,2,11,Average,Medium,Moderate,High,Regular,Concentrated,Professionals,Regional,81.48441449
6190731.771,4.059574416,5,133,Good,Low,Moderate,Low,Regular,Concentrated,Professionals,Global,32.41980277
